,,,,,,,,
,,,@trev_barry's tweets,Exported on 12 Mar 2018 - 3:13 PM (GMT-7) with http://www.twitonomy.com,,,,
18/02/2018 15:00:24,@trev_barry,Trevor Franklin,The votes have spoken. My roommate is currently gloating right now,https://twitter.com/trev_barry/status/965239581997182976,Twitter for Android,Reply (native),0.00,0.00
17/02/2018 04:01:32,@trev_barry,Trevor Franklin,@_artistone_ @tonysharpe_,https://twitter.com/trev_barry/status/964711384352161792,Twitter for Android,Reply (native),0.00,0.00
17/02/2018 00:38:27,@trev_barry,Trevor Franklin,Thinking of piercing my ears and I want to prove to my roommate it's not a bad idea.,https://twitter.com/trev_barry/status/964660277831757824,Twitter for Android,New,0.00,1.00
16/02/2018 19:41:57,@trev_barry,Trevor Franklin,Midwest culture is eating ice cream walking between classes in the winter,https://twitter.com/trev_barry/status/964585661369081856,Twitter for Android,New,0.00,9.00
15/02/2018 20:42:29,@trev_barry,Trevor Franklin,"RT @weprogressives: Please note: If I am ever killed in a random shooting, you may IMMEDIATELY and stridently politicize my death to help s…",https://twitter.com/trev_barry/status/964238507601473537,Twitter for Android,Retweet (native),"38,374.00","113,238.00"
12/02/2018 13:14:32,@trev_barry,Trevor Franklin,RT @MSUCapGreen: T-minus 13 days until ICCA!!! We're pumped! Especially Matthew! https://t.co/4ECi7YKSaA,https://twitter.com/trev_barry/status/963038615138963457,Twitter for Android,Retweet (native),8.00,30.00
08/02/2018 23:05:15,@trev_barry,Trevor Franklin,"RT @Kaeos_Tennyo: @lisatozzi I can't believe this is a THING.
Why is this a thing? https://t.co/6jThPPfyRv",https://twitter.com/trev_barry/status/961737718907666432,Twitter for Android,Retweet (native),"2,121.00","2,607.00"
03/02/2018 14:57:21,@trev_barry,Trevor Franklin,@pewdiepie @strangeriley99,https://twitter.com/trev_barry/status/959802997369921542,Twitter for Android,Reply (native),0.00,1.00
31/01/2018 13:43:54,@trev_barry,Trevor Franklin,The movie you're looking for is Megamind lol https://t.co/glQ9blosI9,https://twitter.com/trev_barry/status/958697347873169409,Twitter for Android,New,0.00,3.00
29/01/2018 16:40:49,@trev_barry,Trevor Franklin,RT @starcrossedlovr: Me when y'all applaud men for doing the bare minimum: https://t.co/JdmBI8Ai86,https://twitter.com/trev_barry/status/958017098114125824,Twitter for Android,Retweet (native),"128,381.00","315,374.00"
25/01/2018 15:53:00,@trev_barry,Trevor Franklin,RT @ellievhall: This GIF of Judge Aquilina throwing away the letter Larry Nassar wrote the court about how hard it is for him to listen to…,https://twitter.com/trev_barry/status/956555512769925120,Twitter for Android,Retweet (native),"197,471.00","526,547.00"
25/01/2018 13:46:35,@trev_barry,Trevor Franklin,"Me, rolling into my friends house uninvited at 4 am with shades on and 4 red bulls:

Ok you are not going believe this meme I found...",https://twitter.com/trev_barry/status/956523698906959873,Twitter for Android,New,0.00,11.00
23/01/2018 21:57:34,@trev_barry,Trevor Franklin,"RT @MSUCapGreen: Introducing our Greener of the Week, Emma Robinson! Emma is a freshman studying Elementary… https://t.co/Q6EIv5jcjw",https://twitter.com/trev_barry/status/955922481424019457,Twitter for Android,Retweet (native),1.00,5.00
22/01/2018 22:59:18,@trev_barry,Trevor Franklin,"RT @DavidKHarbour: Internet, listen...
I'm a giver.  I give and I give.
But now I need you.
I need 200k retweets to go dance with penguins.…",https://twitter.com/trev_barry/status/955575630229274631,Twitter for Android,Retweet (native),"386,309.00","254,205.00"
22/01/2018 16:49:31,@trev_barry,Trevor Franklin,My life has been a mix of these two for this semester so far https://t.co/sIweO9Uj0c,https://twitter.com/trev_barry/status/955482569344258051,Twitter for Android,New,0.00,6.00
22/01/2018 05:19:48,@trev_barry,Trevor Franklin,RT @callieshayeeex3: guys!!! if i get 500k retweets this can happen for me!! please help out 💙💙 thank you all!!!  #CalliesMetsProm https://…,https://twitter.com/trev_barry/status/955308998210785280,Twitter for Android,Retweet (native),"499,587.00","126,760.00"
20/01/2018 23:08:43,@trev_barry,Trevor Franklin,RT @AlyssaMillinoff: lmao on my emt clinicals they would always ask this to make sure they're oriented to time and 90% of people would just…,https://twitter.com/trev_barry/status/954853222174412802,Twitter for Android,Retweet (native),1.00,2.00
20/01/2018 04:02:23,@trev_barry,Trevor Franklin,"RT @chrisvazquezx: i don't recall myself owning a white t shirt.

The shirt actually said  “deport racists” and i would love know whose dec…",https://twitter.com/trev_barry/status/954564739002175488,Twitter for Android,Retweet (native),"53,373.00","162,805.00"
19/01/2018 19:49:00,@trev_barry,Trevor Franklin,@drewmitchyfabes @mry_mchugh Omg but me honestly,https://twitter.com/trev_barry/status/954440573494145027,Twitter for Android,Reply (native),0.00,1.00
18/01/2018 23:56:13,@trev_barry,Trevor Franklin,Whenever I hold the door open for somone and they take the other door https://t.co/yA55HSnLyO,https://twitter.com/trev_barry/status/954140401597927424,Twitter for Android,New,0.00,6.00
18/01/2018 04:16:27,@trev_barry,Trevor Franklin,Will men ever cease to find things to complain about? The search continues.... https://t.co/6c5qVt7ubd,https://twitter.com/trev_barry/status/953843503829831680,Twitter for Android,New,0.00,11.00
14/01/2018 13:36:51,@trev_barry,Trevor Franklin,How can CNN do this and yet we still have 100s of thousands of POC still incarcerated for the exact same thing https://t.co/bBZmLEKVX5,https://twitter.com/trev_barry/status/952534982907621376,Twitter for Android,New,0.00,4.00
10/01/2018 19:44:31,@trev_barry,Trevor Franklin,Not all hero's wear capes https://t.co/6VBaJgHUGQ,https://twitter.com/trev_barry/status/951177957632036864,Twitter for Android,New,0.00,9.00
10/01/2018 17:46:12,@trev_barry,Trevor Franklin,"Ahhh January. That time of the year when gym rats are at their most fatphobic.

Can we just not this year?",https://twitter.com/trev_barry/status/951148182037295104,Twitter for Android,New,0.00,4.00
10/01/2018 17:25:39,@trev_barry,Trevor Franklin,Update: Just accidently said sorry to a trashcan I bumped into bc I thought it was a person so yes I'm THRIVING,https://twitter.com/trev_barry/status/951143009453780992,Twitter for Android,Reply (native),2.00,19.00
10/01/2018 12:59:38,@trev_barry,Trevor Franklin,@ansontm @MoonEmojii @Nickkkkowaaasss  because you're always tagging me in annoying things 😂,https://twitter.com/trev_barry/status/951076063051964416,Twitter for Android,Reply (native),0.00,1.00
10/01/2018 12:33:25,@trev_barry,Trevor Franklin,I'm currently running on two hours of sleep and anxiety and it's only the third day lmao I'm in for a wild semester,https://twitter.com/trev_barry/status/951069466724577280,Twitter for Android,New,0.00,15.00
09/01/2018 15:19:22,@trev_barry,Trevor Franklin,RT @rollingburnout: Interesting new branch of bare minimum Twitter https://t.co/c4uya81PCc,https://twitter.com/trev_barry/status/950748842890289153,Twitter for Android,Retweet (native),76.00,336.00
08/01/2018 18:04:08,@trev_barry,Trevor Franklin,RT @TommyWiseau: If a lot of people love each other the world will be a better place to live !,https://twitter.com/trev_barry/status/950427917938458624,Twitter for Android,Retweet (native),"24,749.00","85,007.00"
08/01/2018 13:48:27,@trev_barry,Trevor Franklin,@Nickkkkowaaasss Context please?,https://twitter.com/trev_barry/status/950363575146766338,Twitter for Android,Reply (native),0.00,1.00
08/01/2018 0:31:48,@trev_barry,Trevor Franklin,When I'm mad but someone mentions food https://t.co/3bxvYR46sm,https://twitter.com/trev_barry/status/950163088459870213,Twitter for Android,New,1.00,1.00
07/01/2018 22:20:37,@trev_barry,Trevor Franklin,True friendship is having a convo by interrupting each other until one of you has to go home,https://twitter.com/trev_barry/status/950130076758224896,Twitter for Android,New,0.00,3.00
07/01/2018 3:36:36,@trev_barry,Trevor Franklin,Y'all ever subtweeted something that later got you in trouble? Lmao like I'd ever be so bold...,https://twitter.com/trev_barry/status/949847207678824448,Twitter for Android,New,0.00,4.00
05/01/2018 2:48:11,@trev_barry,Trevor Franklin,RT @MostWowFacts: Banging your head against a wall uses 150 calories an hour.,https://twitter.com/trev_barry/status/949110249935523840,Twitter for Android,Retweet (native),133.00,220.00
04/01/2018 14:55:24,@trev_barry,Trevor Franklin,@MyiaHall If Twitter isn't my personal diary idk what the point is,https://twitter.com/trev_barry/status/948930870487994368,Twitter for Android,Reply (native),0.00,1.00
04/01/2018 5:20:19,@trev_barry,Trevor Franklin,This is the devil tryin to tempt me to spend my rent money https://t.co/G1KNYmH9cJ,https://twitter.com/trev_barry/status/948786147802714112,Twitter for Android,New,2.00,6.00
04/01/2018 0:43:28,@trev_barry,Trevor Franklin,Idk how but I'm trying to be a relaxed as this gif somehow https://t.co/7evnDkSenl,https://twitter.com/trev_barry/status/948716476554469377,Twitter for Android,New,0.00,4.00
04/01/2018 0:06:23,@trev_barry,Trevor Franklin,@Marie_Laird Uh.....you're welcome????,https://twitter.com/trev_barry/status/948707142441357312,Twitter for Android,Reply (native),0.00,0.00
03/01/2018 23:56:50,@trev_barry,Trevor Franklin,RT @RealIySteph: DM him first 2018,https://twitter.com/trev_barry/status/948704737272221696,Twitter for Android,Retweet (native),"39,936.00","86,210.00"
03/01/2018 23:54:59,@trev_barry,Trevor Franklin,@alli_contrary You are living your best life actually,https://twitter.com/trev_barry/status/948704272702758912,Twitter for Android,Reply (native),0.00,1.00
03/01/2018 17:58:27,@trev_barry,Trevor Franklin,@Nickkkkowaaasss Well as long as you're ok with like 40 eclectic picture frames I just bought being there then we're good lol,https://twitter.com/trev_barry/status/948614548193513474,Twitter for Android,Reply (native),0.00,1.00
03/01/2018 17:39:39,@trev_barry,Trevor Franklin,There's something in the air at TJMaxx that makes me want to impulsively redecorate my apartment,https://twitter.com/trev_barry/status/948609816464973825,Twitter for Android,New,2.00,20.00
03/01/2018 3:14:45,@trev_barry,Trevor Franklin,The confidence is glowing here. You rock that shit! https://t.co/pzBY8xYfdX,https://twitter.com/trev_barry/status/948392158322708481,Twitter for Android,New,0.00,8.00
03/01/2018 2:04:29,@trev_barry,Trevor Franklin,RT @flavordays: also hey i wanna talk abt the aokigahara (the suicide forest) situation with logan paul rly quick,https://twitter.com/trev_barry/status/948374476353343488,Twitter for Android,Retweet (native),"90,119.00","162,899.00"
01/01/2018 23:50:47,@trev_barry,Trevor Franklin,I don't want to @ anybody but I could name at least a dozen people I know lol https://t.co/TydlJAOMYr,https://twitter.com/trev_barry/status/947978442649276416,Twitter for Android,New,0.00,0.00
01/01/2018 21:13:22,@trev_barry,Trevor Franklin,@Nickkkkowaaasss Bye! https://t.co/aZyWqrlhji,https://twitter.com/trev_barry/status/947938826210762754,Twitter for Android,Reply (native),0.00,1.00
01/01/2018 21:00:14,@trev_barry,Trevor Franklin,"RT @amarchi13: The Office Characters as Vines: 
a thread",https://twitter.com/trev_barry/status/947935520478453761,Twitter for Android,Retweet (native),"127,230.00","172,297.00"
01/01/2018 18:30:40,@trev_barry,Trevor Franklin,"RT @ZachWashburn: Ah, 2017. Here's everything that happened on Twitter this year. https://t.co/3snNxqCnRr",https://twitter.com/trev_barry/status/947897879590555649,Twitter for Android,Retweet (native),"116,630.00","264,495.00"
31/12/2017 14:54:13,@trev_barry,Trevor Franklin,@cori_616 I've been doing this to my sis and her bf all week tough lmao,https://twitter.com/trev_barry/status/947481020529565697,Twitter for Android,Reply (native),0.00,1.00
31/12/2017 14:53:00,@trev_barry,Trevor Franklin,Damn why can't y'all mind your own business and let woman live https://t.co/v7nKho1k3g,https://twitter.com/trev_barry/status/947480713351303168,Twitter for Android,New,2.00,7.00
30/12/2017 14:32:09,@trev_barry,Trevor Franklin,RT @samzmith: The Office characters if they were dogs: a thread,https://twitter.com/trev_barry/status/947113080336584704,Twitter for Android,Retweet (native),"57,662.00","92,483.00"
29/12/2017 17:48:27,@trev_barry,Trevor Franklin,If this isn't a mood I don't know what is https://t.co/IMGiawGALi,https://twitter.com/trev_barry/status/946800094191472642,Twitter for Android,New,1.00,11.00
29/12/2017 15:57:42,@trev_barry,Trevor Franklin,@Moxie___ Not to call anyone out or anything but I sent in those videos awhile ago lol. We apologize to all our fans for the delay,https://twitter.com/trev_barry/status/946772219656581120,Twitter for Android,Reply (native),0.00,3.00
29/12/2017 15:48:53,@trev_barry,Trevor Franklin,@Moxie___ What's up?,https://twitter.com/trev_barry/status/946770003348639744,Twitter for Android,Reply (native),0.00,0.00
29/12/2017 15:04:34,@trev_barry,Trevor Franklin,I remember when I first joined Twitter and I thought that subtweeting was petty and shallow lmao jokes on myself,https://twitter.com/trev_barry/status/946758848777412608,Twitter for Android,New,0.00,6.00
27/12/2017 20:05:53,@trev_barry,Trevor Franklin,Whenever I'm sad I just think about this picture of Trump drinking water like a toddler https://t.co/ea8RaxaIMU,https://twitter.com/trev_barry/status/946109904871403520,Twitter for Android,New,0.00,10.00
27/12/2017 16:20:50,@trev_barry,Trevor Franklin,When you try to stay out of politics during the holidays but Aunty is testing you https://t.co/EkD204GQi1,https://twitter.com/trev_barry/status/946053265862651904,Twitter for Android,New,2.00,24.00
24/12/2017 15:08:28,@trev_barry,Trevor Franklin,The fact that I've been watching exclusively vine compilations for the last 2 days has really messed up my YouTube recommended list,https://twitter.com/trev_barry/status/944947892124635136,Twitter for Android,New,0.00,9.00
23/12/2017 13:56:28,@trev_barry,Trevor Franklin,@FunnyyVine @drewmitchyfabes I can't 😂😂,https://twitter.com/trev_barry/status/944567386975428608,Twitter for Android,Reply (native),0.00,1.00
22/12/2017 22:52:50,@trev_barry,Trevor Franklin,Me taking my finals followed by when I receive my grades https://t.co/I2yPRXe6MT,https://twitter.com/trev_barry/status/944339977831403520,Twitter for Android,New,0.00,6.00
21/12/2017 21:26:54,@trev_barry,Trevor Franklin,It's hard to Christmas shop for your family when they deserve the world and all you can afford are socks,https://twitter.com/trev_barry/status/943955964339908608,Twitter for Android,New,0.00,12.00
21/12/2017 02:24:08,@trev_barry,Trevor Franklin,RT @tealouis_: Me listening to the same 12 songs on my playlist every day acting like it's the first time I've heard each one https://t.co/…,https://twitter.com/trev_barry/status/943668378794909701,Twitter for Android,Retweet (native),"131,736.00","265,746.00"
18/12/2017 04:44:02,@trev_barry,Trevor Franklin,@BadFatherHan @strangeriley99,https://twitter.com/trev_barry/status/942616422278205440,Twitter for Android,Reply (native),0.00,1.00
17/12/2017 01:41:41,@trev_barry,Trevor Franklin,@FunnyyVine @trevv_b,https://twitter.com/trev_barry/status/942208144566112257,Twitter for Android,Reply (native),0.00,0.00
15/12/2017 21:07:43,@trev_barry,Trevor Franklin,@BadFatherHan @alli_contrary excuse me!!!!,https://twitter.com/trev_barry/status/941776808298668034,Twitter for Android,Reply (native),0.00,3.00
14/12/2017 19:25:39,@trev_barry,Trevor Franklin,It's official guys. Get your binge watching in now cuz it won't be around for long https://t.co/uRWZFtrIQG,https://twitter.com/trev_barry/status/941388734989324290,Twitter for Android,New,0.00,2.00
14/12/2017 14:03:04,@trev_barry,Trevor Franklin,"RT @byefeIicia: These Christmas carolers are LIT! 😂🎄🔥

https://t.co/QdG3ytgkah",https://twitter.com/trev_barry/status/941307553589485568,Twitter for Android,Retweet (native),"2,089.00","2,985.00"
13/12/2017 20:11:39,@trev_barry,Trevor Franklin,I do not appreciate being called out like this https://t.co/Jvu2Pt4mEu,https://twitter.com/trev_barry/status/941037923222343684,Twitter for Android,New,1.00,17.00
13/12/2017 16:00:19,@trev_barry,Trevor Franklin,@Nickkkkowaaasss That's wild lmao,https://twitter.com/trev_barry/status/940974675185807360,Twitter for Android,Reply (native),0.00,2.00
13/12/2017 13:21:52,@trev_barry,Trevor Franklin,"RT @TheTweetOfGod: Not as close as you, Margie. See you Thursday! https://t.co/EUkPCtQp9f",https://twitter.com/trev_barry/status/940934799342088195,Twitter for Android,Retweet (native),"24,940.00","84,787.00"
12/12/2017 19:35:32,@trev_barry,Trevor Franklin,@drewmitchyfabes @alli_contrary Hey there https://t.co/bdmKooNB5g,https://twitter.com/trev_barry/status/940666445830283270,Twitter for Android,Reply (native),0.00,3.00
12/12/2017 16:16:40,@trev_barry,Trevor Franklin,My last two brain cells trying to communicate https://t.co/T4XZooPM0z,https://twitter.com/trev_barry/status/940616403194929152,Twitter for Android,New,0.00,6.00
10/12/2017 0:27:16,@trev_barry,Trevor Franklin,My brain trying to retain information right now https://t.co/IpuyakwofL,https://twitter.com/trev_barry/status/939652702337945600,Twitter for Android,New,0.00,14.00
09/12/2017 23:26:52,@trev_barry,Trevor Franklin,When you're busy getting all the hot gossip from your roommate instead of studying https://t.co/i5Ta2BurnC,https://twitter.com/trev_barry/status/939637499844026369,Twitter for Android,New,0.00,2.00
09/12/2017 21:41:01,@trev_barry,Trevor Franklin,Trying to look festive in spite of impending finals! #CGslay https://t.co/9v91ur47fU,https://twitter.com/trev_barry/status/939610861202796544,Twitter for Android,New,2.00,8.00
08/12/2017 23:46:06,@trev_barry,Trevor Franklin,@ktwrdn I've been put on blast hahaha I miss those antlers!,https://twitter.com/trev_barry/status/939279954176561153,Twitter for Android,Reply (native),0.00,2.00
07/12/2017 23:08:09,@trev_barry,Trevor Franklin,Truly wonderful levels of pettynes and political activism https://t.co/KOmwMTyU6m,https://twitter.com/trev_barry/status/938908016614825984,Twitter for Android,New,0.00,6.00
07/12/2017 21:30:02,@trev_barry,Trevor Franklin,Fellas is it gay to eat chicken? I mean you're literally putting MEAT in your mouth so......,https://twitter.com/trev_barry/status/938883325078523908,Twitter for Android,New,0.00,14.00
07/12/2017 15:28:18,@trev_barry,Trevor Franklin,@nuclearrhino241 *dabs*,https://twitter.com/trev_barry/status/938792290054737920,Twitter for Android,Reply (native),0.00,2.00
06/12/2017 23:41:53,@trev_barry,Trevor Franklin,RT @brandonriley_3: TWITTER!!!! Finals week is approaching and my math class NEEDS THESE BONUS POINTS!!!PLEASE RETWEET!!! EVERY POINT COUNT…,https://twitter.com/trev_barry/status/938554117303275520,Twitter for Android,Retweet (native),"140,090.00","61,027.00"
06/12/2017 17:55:29,@trev_barry,Trevor Franklin,@drewmitchyfabes Why you gotta put me on blast like that?? Lol I can still find them funny as hell even if I don't watch the show 😂,https://twitter.com/trev_barry/status/938466940825325569,Twitter for Android,Reply (native),0.00,1.00
06/12/2017 17:51:12,@trev_barry,Trevor Franklin,@drewmitchyfabes I knew you would appreciate it 😂,https://twitter.com/trev_barry/status/938465863048548352,Twitter for Android,Reply (native),0.00,1.00
06/12/2017 17:40:40,@trev_barry,Trevor Franklin,Me showing up to class when I haven't been for a month to ask for extra credit. https://t.co/iQmnBFK6rH,https://twitter.com/trev_barry/status/938463214781784065,Twitter for Android,New,0.00,16.00
05/12/2017 18:14:21,@trev_barry,Trevor Franklin,RT @taylvr: Yeah sex is cool and all but have you ever dialed (+1) 202-759-7593 to let your senators know that you oppose the repeal of net…,https://twitter.com/trev_barry/status/938109303675936769,Twitter for Android,Retweet (native),"106,089.00","201,336.00"
05/12/2017 1:30:28,@trev_barry,Trevor Franklin,"When you have 5 essays, 20 finals, 3 presentations and Christmas break is two weeks away https://t.co/mjuMgjLuWK",https://twitter.com/trev_barry/status/937856666384650241,Twitter for Android,New,0.00,11.00
04/12/2017 19:53:44,@trev_barry,Trevor Franklin,RT @RadioAstrology: We are entering a golden era for observational astrology. If your horoscope isn't informed by data from across the EM s…,https://twitter.com/trev_barry/status/937771926436679681,Twitter for Android,Retweet (native),46.00,86.00
04/12/2017 15:49:16,@trev_barry,Trevor Franklin,"RT @goldengateblond: At 15, @Malala was shot in the head by the Taliban for insisting that girls had the right to an education. At 17, she…",https://twitter.com/trev_barry/status/937710401160130562,Twitter for Android,Retweet (native),"116,296.00","361,161.00"
03/12/2017 0:03:44,@trev_barry,Trevor Franklin,@cori_616 Omg thank you for this 😂,https://twitter.com/trev_barry/status/937110064279752704,Twitter for Android,Reply (native),0.00,1.00
02/12/2017 19:16:08,@trev_barry,Trevor Franklin,@MoonEmojii @alli_contrary,https://twitter.com/trev_barry/status/937037685956456448,Twitter for Android,Reply (native),0.00,1.00
02/12/2017 16:08:58,@trev_barry,Trevor Franklin,I've come to realize that 90% of my personality comes from whatever tv show I'm watching. So for the time being I'm Schmidt from New Girl,https://twitter.com/trev_barry/status/936990582895009792,Twitter for Android,New,2.00,26.00
02/12/2017 1:39:11,@trev_barry,Trevor Franklin,"Me:
""Im a easygoing person""

Also me whenever something mildly inconvenient happens:
""This is the timeline that God has abandoned""",https://twitter.com/trev_barry/status/936771696798732288,Twitter for Android,New,1.00,8.00
01/12/2017 13:38:17,@trev_barry,Trevor Franklin,RT @TheMeninist: THIS IS THE BEST THING IVE EVER SEEN 😂😂 https://t.co/HlFiJ0WmNB,https://twitter.com/trev_barry/status/936590276914831360,Twitter for Android,Retweet (native),367.00,783.00
01/12/2017 3:28:07,@trev_barry,Trevor Franklin,@nedfulmer @alli_contrary if there ever was a tweet for you lol,https://twitter.com/trev_barry/status/936436721528590341,Twitter for Android,Reply (native),0.00,1.00
30/11/2017 17:48:20,@trev_barry,Trevor Franklin,RT @MSUCapGreen: WE HAVE 3 BEAUTIFUL NEWBIES!!!! Welcome to the fam 💚💚💚 https://t.co/ksKNWUzkJM,https://twitter.com/trev_barry/status/936290815269326848,Twitter for Android,Retweet (native),1.00,10.00
29/11/2017 20:00:12,@trev_barry,Trevor Franklin,"“What's your major?”
“Astrophysics""
“You must be so smart then!""
“I'm drowning in schoolwork and want to cry but what's new with you?"" https://t.co/V94QvoOrFl",https://twitter.com/trev_barry/status/935961614842556416,Twitter for Android,New,0.00,3.00
29/11/2017 18:02:27,@trev_barry,Trevor Franklin,@mlev28 Fer sure lmao,https://twitter.com/trev_barry/status/935931981300404224,Twitter for Android,Reply (native),0.00,2.00
29/11/2017 17:50:41,@trev_barry,Trevor Franklin,Young Keys #newRapper? https://t.co/iL9OFEwRUS,https://twitter.com/trev_barry/status/935929020167933953,Twitter for Android,New,0.00,3.00
28/11/2017 19:18:41,@trev_barry,Trevor Franklin,The bar is so low for men it's laughable and horrifying at the same time https://t.co/jpzW9qtVS2,https://twitter.com/trev_barry/status/935588777950629888,Twitter for Android,New,0.00,7.00
28/11/2017 19:16:55,@trev_barry,Trevor Franklin,RT @MSUCapGreen: Winter Auditions are tomorrow! Check out our website for more details: https://t.co/x3SNBtWasf,https://twitter.com/trev_barry/status/935588331034988545,Twitter for Android,Retweet (native),3.00,3.00
27/11/2017 20:37:08,@trev_barry,Trevor Franklin,RT @backtoyoubfs: i pinpointed the exact moment millennial humor became this sort of fucked up weird and vague disturbing humor that is ver…,https://twitter.com/trev_barry/status/935246132640395264,Twitter for Android,Retweet (native),"148,908.00","345,263.00"
27/11/2017 14:39:36,@trev_barry,Trevor Franklin,@MyiaHall You are truly #blessed,https://twitter.com/trev_barry/status/935156156430987264,Twitter for Android,Reply (native),0.00,1.00
25/11/2017 16:36:39,@trev_barry,Trevor Franklin,The best part of being home for the holidays is not having your shower run outta hot water in 10 minutes,https://twitter.com/trev_barry/status/934460834989903872,Twitter for Android,New,0.00,9.00
24/11/2017 18:38:10,@trev_barry,Trevor Franklin,"RT @ktwrdn: I'm so disappointed at that thread of Joe Biden because I thought he was such a good guy, but he's just another creepy, old, wh…",https://twitter.com/trev_barry/status/934129029061496832,Twitter for Android,Retweet (native),1.00,4.00
24/11/2017 18:37:05,@trev_barry,Trevor Franklin,The absolute DRAMA of black Friday is what I live for,https://twitter.com/trev_barry/status/934128756842745856,Twitter for Android,New,0.00,7.00
23/11/2017 21:18:06,@trev_barry,Trevor Franklin,RT @evanjaquez: Can y'all please just look at this because I had no idea https://t.co/vwhxfZKvJ4,https://twitter.com/trev_barry/status/933806887966998529,Twitter for Android,Retweet (native),"72,518.00","127,313.00"
22/11/2017 16:50:13,@trev_barry,Trevor Franklin,Be the annoying liberal your aunts and uncles hate to see https://t.co/XwWcVY1Cxj,https://twitter.com/trev_barry/status/933377085791461376,Twitter for Android,New,3.00,13.00
